Area,Year,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes
Bulgaria,1991,608,8.14,3906.0
Bulgaria,1992,608,9.07,3906.0
Bulgaria,1993,608,9.0,3777.25
Bulgaria,1994,608,10.23,3648.5
Bulgaria,1995,608,8.69,3519.75
Bulgaria,1996,608,8.44,3391.0
Bulgaria,1997,608,8.26,3262.25
Bulgaria,1998,608,9.16,3133.5
Bulgaria,1999,608,9.67,3004.75
Bulgaria,2000,608,9.9,2876.0
Bulgaria,2001,608,9.55,2747.25
Bulgaria,2002,608,9.6,2618.5
Bulgaria,2004,608,9.18,2361.0
Bulgaria,2005,608,8.58,2232.25
Bulgaria,2006,608,9.08,2103.5
Bulgaria,2007,608,10.23,1974.75
Bulgaria,2008,608,9.9,1846.0
Bulgaria,2009,608,9.74,1717.25
Bulgaria,2010,608,9.65,1588.5
Bulgaria,2011,608,9.17,1459.75
Bulgaria,2012,608,9.99,1331.0
Bulgaria,2013,608,11.26,1197.0
Burkina Faso,1990,748,28.77,29.1
Burkina Faso,1991,748,28.4,29.1
Burkina Faso,1992,748,28.06,29.1
Burkina Faso,1993,748,28.58,17.0
Burkina Faso,1994,748,28.0,6.0
Burkina Faso,1995,748,28.46,3.04
Burkina Faso,1996,748,28.74,39.16
Burkina Faso,1997,748,28.52,75.29
Burkina Faso,1998,748,28.95,111.41
Burkina Faso,1999,748,28.45,93.43
Burkina Faso,2000,748,28.6,75.44
Burkina Faso,2001,748,28.77,57.46
Burkina Faso,2002,748,28.97,39.47
Burkina Faso,2004,748,28.9,1.28
Burkina Faso,2005,748,29.18,92.21
Burkina Faso,2006,748,28.92,109.24
Burkina Faso,2007,748,28.96,292.05
Burkina Faso,2008,748,28.4,190.92
Burkina Faso,2009,748,29.05,132.3
Burkina Faso,2010,748,29.17,442.89
Burkina Faso,2011,748,29.03,843.0
Burkina Faso,2012,748,28.67,843.0
Burkina Faso,2013,748,29.41,843.0
Burundi,1990,1274,21.15,92.08
Burundi,1991,1274,20.97,92.08
Burundi,1992,1274,21.31,92.08
Burundi,1993,1274,21.17,96.99
Burundi,1994,1274,21.25,84.45
Burundi,1995,1274,21.55,144.2
Burundi,1996,1274,21.18,207.1
Burundi,1997,1274,21.51,117.56
Burundi,1998,1274,21.56,107.29
Burundi,1999,1274,21.01,150.24
Burundi,2000,1274,21.32,109.87
Burundi,2001,1274,21.24,72.56
Burundi,2002,1274,21.45,98.1
Burundi,2004,1274,21.71,508.26
Burundi,2005,1274,22.29,304.83
Burundi,2006,1274,21.83,190.51
Burundi,2007,1274,21.28,412.66
Burundi,2008,1274,21.29,456.44
Burundi,2009,1274,21.42,177.75
Burundi,2010,1274,21.75,264.53
Burundi,2011,1274,21.23,75.64
Burundi,2012,1274,21.44,98.59
Burundi,2013,1274,21.53,956.06
Cameroon,1990,1604,25.08,450.01
Cameroon,1991,1604,24.99,99.09
Cameroon,1992,1604,24.6,1137.56
Cameroon,1993,1604,24.9,774.49
Cameroon,1994,1604,24.93,411.42
Cameroon,1995,1604,25.21,48.35
Cameroon,1996,1604,25.0,180.08
Cameroon,1997,1604,24.98,630.12
Cameroon,1998,1604,25.66,258.02
Cameroon,1999,1604,24.97,653.0
Cameroon,2000,1604,24.88,545.0
Cameroon,2001,1604,25.01,687.0
Cameroon,2002,1604,25.26,815.79
Cameroon,2004,1604,25.42,849.48
Cameroon,2005,1604,25.36,829.59
Cameroon,2006,1604,25.39,950.22
Cameroon,2007,1604,25.49,918.88
Cameroon,2008,1604,25.42,882.13
Cameroon,2009,1604,25.54,813.77
Cameroon,2010,1604,25.7,1160.63
Cameroon,2011,1604,25.25,1372.47
Cameroon,2012,1604,25.18,1372.47
Cameroon,2013,1604,25.45,1372.47
Canada,1990,537,8.2,29568.0
Canada,1990,537,9.48,29568.0
Canada,1990,537,6.07,29568.0
Canada,1990,537,5.57,29568.0
Canada,1990,537,7.41,29568.0
Canada,1990,537,7.82,29568.0
Canada,1991,537,8.13,29477.5
Canada,1991,537,9.72,29477.5
Canada,1991,537,5.82,29477.5
Canada,1991,537,5.46,29477.5
Canada,1991,537,7.55,29477.5
Canada,1991,537,7.89,29477.5
Canada,1992,537,6.25,29387.0
Canada,1992,537,8.05,29387.0
Canada,1992,537,4.41,29387.0
Canada,1992,537,3.69,29387.0
Canada,1992,537,5.79,29387.0
Canada,1992,537,8.77,29387.0
Canada,1993,537,6.48,29296.5
Canada,1993,537,8.11,29296.5
Canada,1993,537,4.52,29296.5
Canada,1993,537,3.96,29296.5
Canada,1993,537,5.87,29296.5
Canada,1993,537,7.69,29296.5
Canada,1994,537,6.52,29206.0
Canada,1994,537,8.11,29206.0
Canada,1994,537,4.72,29206.0
Canada,1994,537,4.06,29206.0
Canada,1994,537,5.95,29206.0
Canada,1994,537,8.27,29206.0
Canada,1995,537,7.19,32223.4
Canada,1995,537,8.52,32223.4
Canada,1995,537,5.47,32223.4
Canada,1995,537,4.81,32223.4
Canada,1995,537,6.38,32223.4
Canada,1995,537,8.49,32223.4
Canada,1996,537,6.88,35240.8
Canada,1996,537,7.85,35240.8
Canada,1996,537,5.25,35240.8
Canada,1996,537,4.66,35240.8
Canada,1996,537,5.81,35240.8
Canada,1996,537,7.16,35240.8
Canada,1997,537,6.72,38258.2
Canada,1997,537,8.09,38258.2
Canada,1997,537,4.54,38258.2
Canada,1997,537,3.99,38258.2
Canada,1997,537,6.0,38258.2
Canada,1997,537,8.23,38258.2
Canada,1998,537,9.01,41275.6
Canada,1998,537,10.6,41275.6
Canada,1998,537,7.0,41275.6
Canada,1998,537,6.68,41275.6
Canada,1998,537,8.54,41275.6
Canada,1998,537,8.72,41275.6
Canada,1999,537,8.29,44293.0
Canada,1999,537,9.53,44293.0
Canada,1999,537,6.71,44293.0
Canada,1999,537,6.02,44293.0
Canada,1999,537,7.75,44293.0
Canada,1999,537,7.69,44293.0
Canada,2000,537,6.93,39667.0
Canada,2000,537,8.67,39667.0
Canada,2000,537,5.14,39667.0
Canada,2000,537,4.61,39667.0
Canada,2000,537,6.67,39667.0
Canada,2000,537,7.63,39667.0
Canada,2001,537,8.47,38456.0
Canada,2001,537,9.63,38456.0
Canada,2001,537,6.46,38456.0
Canada,2001,537,6.01,38456.0
Canada,2001,537,7.76,38456.0
Canada,2001,537,7.77,38456.0
Canada,2002,537,8.18,34226.0
Canada,2002,537,9.45,34226.0
Canada,2002,537,6.01,34226.0
Canada,2002,537,5.47,34226.0
Canada,2002,537,7.48,34226.0
Canada,2002,537,7.82,34226.0
Canada,2004,537,7.02,36138.0
Canada,2004,537,8.63,36138.0
Canada,2004,537,4.91,36138.0
Canada,2004,537,4.46,36138.0
Canada,2004,537,6.4,36138.0
Canada,2004,537,8.95,36138.0
Canada,2005,537,7.89,36363.0
Canada,2005,537,9.05,36363.0
Canada,2005,537,5.95,36363.0
Canada,2005,537,5.53,36363.0
Canada,2005,537,7.22,36363.0
Canada,2005,537,8.38,36363.0
Canada,2006,537,8.66,36572.75
Canada,2006,537,9.83,36572.75
Canada,2006,537,6.95,36572.75
Canada,2006,537,6.3,36572.75
Canada,2006,537,7.85,36572.75
Canada,2006,537,8.31,36572.75
Canada,2007,537,7.42,45140.03
Canada,2007,537,9.14,45140.03
Canada,2007,537,5.25,45140.03
Canada,2007,537,4.96,45140.03
Canada,2007,537,7.07,45140.03
Canada,2007,537,7.72,45140.03
Canada,2008,537,7.5,53707.3
Canada,2008,537,8.61,53707.3
Canada,2008,537,5.62,53707.3
Canada,2008,537,5.01,53707.3
Canada,2008,537,6.58,53707.3
Canada,2008,537,7.3,53707.3
Canada,2009,537,7.12,54529.4
Canada,2009,537,8.38,54529.4
Canada,2009,537,5.27,54529.4
Canada,2009,537,4.71,54529.4
Canada,2009,537,6.28,54529.4
Canada,2009,537,7.8,54529.4
Canada,2010,537,8.64,61050.0
Canada,2010,537,9.47,61050.0
Canada,2010,537,7.11,61050.0
Canada,2010,537,6.73,61050.0
Canada,2010,537,7.77,61050.0
Canada,2010,537,8.33,61050.0
Canada,2011,537,8.34,62107.2
Canada,2011,537,9.32,62107.2
Canada,2011,537,6.52,62107.2
Canada,2011,537,6.14,62107.2
Canada,2011,537,7.3,62107.2
Canada,2011,537,7.21,62107.2
Canada,2012,537,9.24,73508.9
Canada,2012,537,10.51,73508.9
Canada,2012,537,7.09,73508.9
Canada,2012,537,6.59,73508.9
Canada,2012,537,8.66,73508.9
Canada,2012,537,7.85,73508.9
Canada,2013,537,9.19,81659.8
Canada,2013,537,10.11,81659.8
Canada,2013,537,7.86,81659.8
Canada,2013,537,7.08,81659.8
Canada,2013,537,8.46,81659.8
Canada,2013,537,9.85,81659.8
Central African Republic,1990,1342,25.42,0.04
Central African Republic,1991,1342,25.45,0.04
Central African Republic,1992,1342,24.81,0.04
Central African Republic,1993,1342,25.14,0.25
Central African Republic,1994,1342,25.39,2.16
Central African Republic,1995,1342,25.5,22.87
Central African Republic,1996,1342,25.32,22.87
Central African Republic,1997,1342,25.69,22.87
Central African Republic,1998,1342,25.96,22.87
Central African Republic,1999,1342,25.05,22.87
Central African Republic,2000,1342,25.4,22.87
Central African Republic,2001,1342,25.28,22.87
Central African Republic,2002,1342,25.44,22.87
Central African Republic,2004,1342,25.67,22.87
Central African Republic,2005,1342,25.92,22.87
Central African Republic,2006,1342,25.85,22.87
Central African Republic,2007,1342,25.88,22.87
Central African Republic,2008,1342,25.76,22.87
Central African Republic,2009,1342,26.17,22.87
Central African Republic,2010,1342,26.06,22.87
Central African Republic,2011,1342,25.23,22.87
Central African Republic,2012,1342,25.28,22.87
Central African Republic,2013,1342,25.69,22.87
Chile,1990,1522,12.88,15373.0
Chile,1990,1522,6.11,15373.0
Chile,1991,1522,13.0,15373.0
Chile,1991,1522,6.37,15373.0
Chile,1992,1522,12.93,15373.0
Chile,1992,1522,5.97,15373.0
Chile,1993,1522,13.26,15373.0
Chile,1993,1522,6.16,15373.0
Chile,1994,1522,13.42,15373.0
Chile,1994,1522,6.7,15373.0
Chile,1995,1522,13.02,15373.0
Chile,1995,1522,6.4,15373.0
Chile,1996,1522,13.16,15373.0
Chile,1996,1522,6.26,15373.0
Chile,1997,1522,13.66,15373.0
Chile,1997,1522,6.8,15373.0
Chile,1998,1522,13.19,15373.0
Chile,1998,1522,6.28,15373.0
Chile,1999,1522,13.24,15373.0
Chile,1999,1522,5.93,15373.0
Chile,2000,1522,12.99,14264.54
Chile,2000,1522,5.95,14264.54
Chile,2001,1522,13.16,13156.09
Chile,2001,1522,6.41,13156.09
Chile,2002,1522,12.95,12047.63
Chile,2002,1522,6.25,12047.63
Chile,2004,1522,13.44,9830.72
Chile,2004,1522,6.32,9830.72
Chile,2005,1522,13.06,9830.72
Chile,2005,1522,6.22,9830.72
Chile,2006,1522,13.19,9830.72
Chile,2006,1522,6.84,9830.72
Chile,2007,1522,12.31,9830.72
Chile,2007,1522,5.51,9830.72
Chile,2008,1522,13.69,9830.72
Chile,2008,1522,6.57,9830.72
Chile,2009,1522,13.04,9830.72
Chile,2009,1522,6.7,9830.72
Chile,2010,1522,12.69,9830.72
Chile,2010,1522,6.13,9830.72
Chile,2011,1522,13.25,9830.72
Chile,2011,1522,6.27,9830.72
Chile,2012,1522,13.48,9830.72
Chile,2012,1522,6.82,9830.72
Chile,2013,1522,13.07,9830.72
Chile,2013,1522,5.94,9830.72
Colombia,1990,3240,27.22,18058.29
Colombia,1990,3240,22.4,18058.29
Colombia,1991,3240,27.3,16817.0
Colombia,1991,3240,22.53,16817.0
Colombia,1992,3240,27.38,15305.94
Colombia,1992,3240,22.67,15305.94
Colombia,1993,3240,27.42,14961.81
Colombia,1993,3240,22.29,14961.81
Colombia,1994,3240,27.17,17051.34
Colombia,1994,3240,22.33,17051.34
Colombia,1995,3240,27.3,20156.23
Colombia,1995,3240,22.27,20156.23
Colombia,1996,3240,27.12,18131.0
Colombia,1996,3240,22.07,18131.0
Colombia,1997,3240,27.54,16005.0
Colombia,1997,3240,22.9,16005.0
Colombia,1998,3240,27.67,60687.0
Colombia,1998,3240,23.07,60687.0
Colombia,1999,3240,26.77,66088.0
Colombia,1999,3240,21.83,66088.0
Colombia,2000,3240,26.98,75843.0
Colombia,2000,3240,22.01,75843.0
Colombia,2001,3240,27.28,85515.3
Colombia,2001,3240,22.5,85515.3
Colombia,2002,3240,27.77,84023.26
Colombia,2002,3240,22.73,84023.26
Colombia,2004,3240,27.3,105514.19
Colombia,2004,3240,22.63,105514.19
Colombia,2005,3240,27.56,117881.45
Colombia,2005,3240,22.69,117881.45
Colombia,2006,3240,27.51,98328.63
Colombia,2006,3240,22.6,98328.63
Colombia,2007,3240,27.45,82439.06
Colombia,2007,3240,22.48,82439.06
Colombia,2008,3240,27.16,48538.97
Colombia,2008,3240,22.07,48538.97
Colombia,2009,3240,27.68,51435.13
Colombia,2009,3240,22.87,51435.13
Colombia,2010,3240,27.54,48618.46
Colombia,2010,3240,22.68,48618.46
Colombia,2011,3240,27.18,53797.0
Colombia,2011,3240,22.33,53797.0
Colombia,2012,3240,27.56,48727.73
Colombia,2012,3240,22.58,48727.73
Colombia,2013,3240,27.6,54563.38
Colombia,2013,3240,22.85,54563.38
Croatia,1992,1113,10.78,2304.0
Croatia,1993,1113,10.19,2675.33
Croatia,1994,1113,11.33,3046.67
Croatia,1995,1113,10.14,3418.0
Croatia,1996,1113,9.24,3148.0
Croatia,1997,1113,10.18,3026.25
Croatia,1998,1113,10.42,2904.5
Croatia,1999,1113,10.51,2782.75
Croatia,2000,1113,11.45,2661.0
Croatia,2001,1113,10.74,2539.25
Croatia,2002,1113,11.18,2417.5
Croatia,2004,1113,10.06,2174.0
Croatia,2005,1113,9.62,2053.0
Croatia,2006,1113,10.56,2150.0
Croatia,2007,1113,11.31,2015.0
Croatia,2008,1113,11.09,2388.0
Croatia,2009,1113,11.06,2070.0
Croatia,2010,1113,10.0,1540.0
Croatia,2011,1113,11.02,1638.74
Croatia,2012,1113,11.12,1737.47
Croatia,2013,1113,11.58,1836.21
Denmark,1990,703,9.83,5650.0
Denmark,1991,703,8.62,4628.0
Denmark,1992,703,9.47,4566.0
Denmark,1993,703,8.16,4103.0
Denmark,1994,703,9.15,3922.0
Denmark,1995,703,8.75,5043.0
Denmark,1996,703,7.31,3672.0
Denmark,1997,703,8.91,3679.0
Denmark,1998,703,8.65,3623.0
Denmark,1999,703,9.37,2867.0
Denmark,2000,703,9.67,3174.0
Denmark,2001,703,8.78,3311.0
Denmark,2002,703,9.54,2868.0
Denmark,2004,703,9.0,2899.0
Denmark,2005,703,9.11,3246.0
Denmark,2006,703,9.74,3212.0
Denmark,2007,703,9.87,3336.0
Denmark,2008,703,9.82,4145.0
Denmark,2009,703,9.22,2836.0
Denmark,2010,703,7.54,3894.0
Denmark,2011,703,9.31,4249.48
Denmark,2012,703,8.7,5716.0
Denmark,2013,703,8.81,4118.0
Dominican Republic,1990,1410,26.67,4971.0
Dominican Republic,1990,1410,26.61,4971.0
Dominican Republic,1991,1410,26.57,4971.0
Dominican Republic,1991,1410,26.43,4971.0
Dominican Republic,1992,1410,26.45,4971.0
Dominican Republic,1992,1410,26.4,4971.0
Dominican Republic,1993,1410,26.41,4971.0
Dominican Republic,1993,1410,26.38,4971.0
Dominican Republic,1994,1410,26.78,4971.0
Dominican Republic,1994,1410,26.64,4971.0
Dominican Republic,1995,1410,26.82,3449.0
Dominican Republic,1995,1410,26.78,3449.0
Dominican Republic,1996,1410,26.29,3493.0
Dominican Republic,1996,1410,26.31,3493.0
Dominican Republic,1997,1410,27.18,3846.0
Dominican Republic,1997,1410,27.01,3846.0
Dominican Republic,1998,1410,27.16,4375.0
Dominican Republic,1998,1410,27.14,4375.0
Dominican Republic,1999,1410,26.66,5398.0
Dominican Republic,1999,1410,26.62,5398.0
Dominican Republic,2000,1410,26.37,5082.0
Dominican Republic,2000,1410,26.35,5082.0
Dominican Republic,2001,1410,26.78,7182.0
Dominican Republic,2001,1410,26.8,7182.0
Dominican Republic,2002,1410,27.08,4018.07
Dominican Republic,2002,1410,27.05,4018.07
Dominican Republic,2004,1410,26.83,3713.96
Dominican Republic,2004,1410,26.71,3713.96
Dominican Republic,2005,1410,27.03,3515.56
Dominican Republic,2005,1410,26.9,3515.56
Dominican Republic,2006,1410,27.01,4116.45
Dominican Republic,2006,1410,27.08,4116.45
Dominican Republic,2007,1410,27.08,5689.8
Dominican Republic,2007,1410,27.12,5689.8
Dominican Republic,2008,1410,26.76,5409.43
Dominican Republic,2008,1410,26.56,5409.43
Dominican Republic,2009,1410,26.91,5975.25
Dominican Republic,2009,1410,26.88,5975.25
Dominican Republic,2010,1410,26.93,6316.61
Dominican Republic,2010,1410,27.01,6316.61
Dominican Republic,2011,1410,26.79,6316.61
Dominican Republic,2011,1410,26.66,6316.61
Dominican Republic,2012,1410,26.87,6316.61
Dominican Republic,2012,1410,26.84,6316.61
Dominican Republic,2013,1410,26.51,6316.61
Dominican Republic,2013,1410,26.88,6316.61
Ecuador,1990,2274,21.82,2537.0
Ecuador,1990,2274,17.6,2537.0
Ecuador,1990,2274,22.12,2537.0
Ecuador,1991,2274,21.91,2377.0
Ecuador,1991,2274,17.59,2377.0
Ecuador,1991,2274,22.18,2377.0
Ecuador,1992,2274,21.94,2012.0
Ecuador,1992,2274,17.67,2012.0
Ecuador,1992,2274,22.19,2012.0
Ecuador,1993,2274,21.86,1844.0
Ecuador,1993,2274,17.42,1844.0
Ecuador,1993,2274,22.15,1844.0
Ecuador,1994,2274,21.46,2670.0
Ecuador,1994,2274,17.4,2670.0
Ecuador,1994,2274,21.8,2670.0
Ecuador,1995,2274,21.96,2658.0
Ecuador,1995,2274,17.7,2658.0
Ecuador,1995,2274,22.19,2658.0
Ecuador,1996,2274,21.34,2407.0
Ecuador,1996,2274,17.23,2407.0
Ecuador,1996,2274,21.69,2407.0
Ecuador,1997,2274,22.88,7612.0
Ecuador,1997,2274,17.82,7612.0
Ecuador,1997,2274,23.0,7612.0
Ecuador,1998,2274,22.59,21500.0
Ecuador,1998,2274,18.12,21500.0
Ecuador,1998,2274,22.72,21500.0
Ecuador,1999,2274,21.21,14216.0
Ecuador,1999,2274,17.02,14216.0
Ecuador,1999,2274,21.43,14216.0
Ecuador,2000,2274,21.34,17948.0
Ecuador,2000,2274,17.06,17948.0
Ecuador,2000,2274,21.46,17948.0
Ecuador,2001,2274,21.51,7344.0
Ecuador,2001,2274,17.39,7344.0
Ecuador,2001,2274,21.88,7344.0
Ecuador,2002,2274,22.23,1302.49
Ecuador,2002,2274,17.78,1302.49
Ecuador,2002,2274,22.47,1302.49
Ecuador,2004,2274,22.04,29799.84
Ecuador,2004,2274,17.73,29799.84
Ecuador,2004,2274,22.33,29799.84
Ecuador,2005,2274,21.82,18391.23
Ecuador,2005,2274,17.67,18391.23
Ecuador,2005,2274,22.21,18391.23
Ecuador,2006,2274,22.09,7953.42
Ecuador,2006,2274,17.6,7953.42
Ecuador,2006,2274,22.31,7953.42
Ecuador,2007,2274,21.68,14156.16
Ecuador,2007,2274,17.44,14156.16
Ecuador,2007,2274,21.99,14156.16
Ecuador,2008,2274,21.72,15396.14
Ecuador,2008,2274,17.16,15396.14
Ecuador,2008,2274,21.89,15396.14
Ecuador,2009,2274,22.01,9666.87
Ecuador,2009,2274,17.76,9666.87
Ecuador,2009,2274,22.42,9666.87
Ecuador,2010,2274,21.98,31637.12
Ecuador,2010,2274,17.79,31637.12
Ecuador,2010,2274,22.3,31637.12
Ecuador,2011,2274,21.78,17529.44
Ecuador,2011,2274,17.42,17529.44
Ecuador,2011,2274,22.11,17529.44
Ecuador,2012,2274,21.86,11469.74
Ecuador,2012,2274,17.46,11469.74
Ecuador,2012,2274,22.16,11469.74
Ecuador,2013,2274,21.69,6471.77
Ecuador,2013,2274,17.28,6471.77
Ecuador,2013,2274,21.94,6471.77
Egypt,1990,51,20.73,13214.0
Egypt,1990,51,21.6,13214.0
Egypt,1991,51,20.64,8255.0
Egypt,1991,51,21.65,8255.0
Egypt,1992,51,20.09,6156.0
Egypt,1992,51,21.11,6156.0
Egypt,1993,51,20.74,4175.0
Egypt,1993,51,21.79,4175.0
Egypt,1994,51,21.1,4283.0
Egypt,1994,51,22.02,4283.0
Egypt,1995,51,20.62,4391.0
Egypt,1995,51,21.56,4391.0
Egypt,1996,51,20.85,4499.0
Egypt,1996,51,21.88,4499.0
Egypt,1997,51,20.52,4607.0
Egypt,1997,51,21.45,4607.0
Egypt,1998,51,21.29,4715.0
Egypt,1998,51,22.36,4715.0
Egypt,1999,51,21.46,4823.0
Egypt,1999,51,22.28,4823.0
Egypt,2000,51,20.74,4931.0
Egypt,2000,51,21.49,4931.0
Egypt,2001,51,21.45,5039.0
Egypt,2001,51,22.33,5039.0
Egypt,2002,51,21.46,5147.0
Egypt,2002,51,22.41,5147.0
Egypt,2004,51,21.06,5363.0
Egypt,2004,51,22.08,5363.0
Egypt,2005,51,21.08,5471.0
Egypt,2005,51,22.01,5471.0
Egypt,2006,51,21.15,9781.0
Egypt,2006,51,22.05,9781.0
Egypt,2007,51,21.51,9105.0
Egypt,2007,51,22.36,9105.0
Egypt,2008,51,21.74,9527.0
Egypt,2008,51,22.64,9527.0
Egypt,2009,51,21.67,9013.0
Egypt,2009,51,22.63,9013.0
Egypt,2010,51,22.46,11590.0
Egypt,2010,51,23.72,11590.0
Egypt,2011,51,21.18,12945.0
Egypt,2011,51,21.99,12945.0
Egypt,2012,51,21.55,13991.0
Egypt,2012,51,22.48,13991.0
Egypt,2013,51,21.44,13653.0
Egypt,2013,51,22.91,13653.0
El Salvador,1990,1784,26.06,2524.0
El Salvador,1991,1784,26.08,4096.0
El Salvador,1992,1784,26.22,3940.77
El Salvador,1993,1784,26.12,3785.54
El Salvador,1994,1784,26.33,3630.31
El Salvador,1995,1784,26.05,3475.08
El Salvador,1996,1784,25.77,3319.85
El Salvador,1997,1784,26.48,3164.62
El Salvador,1998,1784,26.48,3009.39
El Salvador,1999,1784,25.67,2854.16
El Salvador,2000,1784,25.78,2698.93
El Salvador,2001,1784,25.92,2543.7
El Salvador,2002,1784,26.12,2388.47
El Salvador,2004,1784,26.2,2078.01
El Salvador,2005,1784,26.07,1922.78
El Salvador,2006,1784,26.14,2265.72
El Salvador,2007,1784,26.02,1940.78
El Salvador,2008,1784,25.71,3899.48
El Salvador,2009,1784,26.21,3333.88
El Salvador,2010,1784,25.96,3598.59
El Salvador,2011,1784,25.95,3231.13
El Salvador,2012,1784,26.04,2595.16
El Salvador,2013,1784,26.36,6005.08
Eritrea,1993,383,24.09,4.44
Eritrea,1994,383,24.13,4.44
Eritrea,1995,383,24.37,4.44
Eritrea,1996,383,24.36,4.44
Eritrea,1997,383,24.32,30.92
Eritrea,1998,383,24.78,19.61
Eritrea,1999,383,24.68,22.28
Eritrea,2000,383,24.76,24.96
Eritrea,2001,383,24.61,27.63
Eritrea,2002,383,24.86,27.63
Eritrea,2004,383,24.79,27.63
Eritrea,2005,383,24.85,27.63
Eritrea,2006,383,24.7,27.63
Eritrea,2007,383,24.7,27.63
Eritrea,2008,383,24.79,27.63
Eritrea,2009,383,25.3,27.63
Eritrea,2010,383,25.22,27.63
Eritrea,2011,383,24.78,27.63
Eritrea,2012,383,25.16,27.63
Eritrea,2013,383,25.87,27.63
Estonia,1992,626,6.51,469.0
Estonia,1993,626,5.26,170.0
Estonia,1994,626,5.35,176.0
Estonia,1995,626,6.23,154.0
Estonia,1996,626,4.63,133.0
Estonia,1997,626,5.95,200.0
Estonia,1998,626,5.5,195.0
Estonia,1999,626,6.55,187.0
Estonia,2000,626,7.12,315.0
Estonia,2001,626,6.08,329.0
Estonia,2002,626,6.34,331.0
Estonia,2004,626,6.03,351.0
Estonia,2005,626,6.04,386.0
Estonia,2006,626,6.7,452.0
Estonia,2007,626,6.97,460.0
Estonia,2008,626,7.39,551.0
Estonia,2009,626,6.14,402.0
Estonia,2010,626,5.06,514.0
Estonia,2011,626,6.98,460.0
Estonia,2012,626,5.57,553.0
Estonia,2013,626,7.28,567.0
Finland,1990,536,6.07,2001.0
Finland,1991,536,5.62,1738.0
Finland,1992,536,5.8,1372.0
Finland,1993,536,4.74,1200.0
Finland,1994,536,4.66,1247.0
Finland,1995,536,5.63,1041.0
Finland,1996,536,4.2,909.0
Finland,1997,536,5.36,999.0
Finland,1998,536,4.71,1164.0
Finland,1999,536,5.7,1139.0
Finland,2000,536,6.57,1147.48
Finland,2001,536,5.35,1423.27
Finland,2002,536,5.54,1620.36
Finland,2004,536,5.4,1489.12
Finland,2005,536,5.8,1431.04
Finland,2006,536,5.91,1645.3
Finland,2007,536,6.23,1479.45
Finland,2008,536,6.77,1621.86
Finland,2009,536,5.49,1693.8
Finland,2010,536,4.36,1746.71
Finland,2011,536,6.38,1707.54
Finland,2012,536,5.12,1545.25
Finland,2013,536,6.17,1475.39
France,1990,867,11.96,97701.0
France,1991,867,10.6,103434.0
France,1992,867,11.15,85249.0
France,1993,867,10.7,91953.0
France,1994,867,11.96,89515.0
France,1995,867,11.69,84011.0
France,1996,867,10.14,97890.0
France,1997,867,11.59,109792.0
France,1998,867,11.25,107753.0
France,1999,867,11.83,114695.0
France,2000,867,11.74,97878.0
France,2001,867,11.37,99694.0
France,2002,867,11.87,82448.0
France,2004,867,11.34,76099.0
France,2005,867,11.55,78265.0
France,2006,867,11.79,71612.0
France,2007,867,11.75,77255.0
France,2008,867,11.28,78577.0
France,2009,867,11.46,63676.0
France,2010,867,10.41,61903.0
France,2011,867,12.33,61039.0
France,2012,867,11.22,63547.59
France,2013,867,11.01,66497.29
Germany,1990,700,10.71,31289.0
Germany,1990,700,10.08,31289.0
Germany,1990,700,5.92,31289.0
Germany,1991,700,9.36,32006.0
Germany,1991,700,8.79,32006.0
Germany,1991,700,4.93,32006.0
Germany,1992,700,10.38,29542.0
Germany,1992,700,9.84,29542.0
Germany,1992,700,5.91,29542.0
Germany,1993,700,9.34,25170.0
Germany,1993,700,8.57,25170.0
Germany,1993,700,5.33,25170.0
Germany,1994,700,10.43,26330.0
Germany,1994,700,9.73,26330.0
Germany,1994,700,6.64,26330.0
Germany,1995,700,9.75,30090.0
Germany,1995,700,9.16,30090.0
Germany,1995,700,5.33,30090.0
Germany,1996,700,7.88,31683.0
Germany,1996,700,7.42,31683.0
Germany,1996,700,4.49,31683.0
Germany,1997,700,9.73,30414.0
Germany,1997,700,9.27,30414.0
Germany,1997,700,5.79,30414.0
Germany,1998,700,10.05,33377.0
Germany,1998,700,9.31,33377.0
Germany,1998,700,5.66,33377.0
Germany,1999,700,10.58,30019.0
Germany,1999,700,10.02,30019.0
Germany,1999,700,5.55,30019.0
Germany,2000,700,10.96,35273.17
Germany,2000,700,10.12,35273.17
Germany,2000,700,6.33,35273.17
Germany,2001,700,9.69,33423.49
Germany,2001,700,9.19,33423.49
Germany,2001,700,5.59,33423.49
Germany,2002,700,10.26,34431.72
Germany,2002,700,9.86,34431.72
Germany,2002,700,6.26,34431.72
Germany,2004,700,9.82,34930.37
Germany,2004,700,9.48,34930.37
Germany,2004,700,5.43,34930.37
Germany,2005,700,9.92,36386.27
Germany,2005,700,9.58,36386.27
Germany,2005,700,5.01,36386.27
Germany,2006,700,10.55,38540.15
Germany,2006,700,10.15,38540.15
Germany,2006,700,5.94,38540.15
Germany,2007,700,10.88,40740.64
Germany,2007,700,10.37,40740.64
Germany,2007,700,6.28,40740.64
Germany,2008,700,10.66,43413.01
Germany,2008,700,10.04,43413.01
Germany,2008,700,5.94,43413.01
Germany,2009,700,10.06,39289.43
Germany,2009,700,9.61,39289.43
Germany,2009,700,5.89,39289.43
Germany,2010,700,8.61,40832.42
Germany,2010,700,7.97,40832.42
Germany,2010,700,4.85,40832.42
